MOFID,subset,group_key
136,Dev,136
572,Dev,572
30,Dev,30
263,Dev,263
270,Dev,270
383,Dev,383
493,Dev,493
37,Dev,37
457,Dev,457
143,Dev,143
165,Dev,165
415,Dev,415
101,Dev,101
477,Dev,477
488,Dev,488
560,Dev,560
257,Dev,257
313,Dev,313
420,Dev,420
152,Dev,152
92,Dev,92
507,Dev,507
235,Dev,235
544,Dev,544
209,Dev,209
155,Dev,155
78,Dev,78
125,Dev,125
201,Dev,201
261,Dev,261
177,Dev,177
460,Dev,460
571,Dev,571
424,Dev,424
395,Dev,395
52,Dev,52
379,Dev,379
426,Dev,426
303,Dev,303
413,Dev,413
368,Dev,368
284,Dev,284
435,Dev,435
425,Dev,425
378,Dev,378
399,Dev,399
566,Dev,566
146,Dev,146
401,Dev,401
132,Dev,132
223,Dev,223
515,Dev,515
514,Dev,514
316,Dev,316
41,Dev,41
62,Dev,62
421,Dev,421
463,Dev,463
307,Dev,307
455,Dev,455
56,Dev,56
369,Dev,369
145,Dev,145
46,Dev,46
97,Dev,97
116,Dev,116
563,Dev,563
328,Dev,328
61,Dev,61
253,Dev,253
133,Dev,133
410,Dev,410
331,Dev,331
347,Dev,347
578,Dev,578
47,Dev,47
337,Dev,337
121,Dev,121
117,Dev,117
269,Dev,269
108,Dev,108
372,Dev,372
283,Dev,283
236,Dev,236
437,Dev,437
84,Dev,84
54,Dev,54
214,Dev,214
427,Dev,427
244,Dev,244
99,Dev,99
285,Dev,285
306,Dev,306
409,Dev,409
153,Dev,153
366,Dev,366
36,Dev,36
557,Dev,557
238,Dev,238
470,Dev,470
539,Dev,539
81,Dev,81
212,Dev,212
1,Dev,1
31,Dev,31
141,Dev,141
272,Dev,272
157,Dev,157
325,Dev,325
172,Dev,172
246,Dev,246
173,Dev,173
341,Dev,341
205,Dev,205
505,Dev,505
468,Dev,468
562,Dev,562
218,Dev,218
540,Dev,540
73,Dev,73
109,Dev,109
21,Dev,21
506,Dev,506
296,Dev,296
69,Dev,69
502,Dev,502
282,Dev,282
355,Dev,355
364,Dev,364
139,Dev,139
227,Dev,227
260,Dev,260
441,Dev,441
34,Dev,34
449,Dev,449
186,Dev,186
169,Dev,169
429,Dev,429
160,Dev,160
361,Dev,361
232,Dev,232
375,Dev,375
523,Dev,523
389,Dev,389
151,Dev,151
194,Dev,194
265,Dev,265
533,Dev,533
482,Dev,482
180,Dev,180
185,Dev,185
516,Dev,516
396,Dev,396
430,Dev,430
481,Dev,481
418,Dev,418
479,Dev,479
480,Dev,480
111,Dev,111
225,Dev,225
98,Dev,98
45,Dev,45
85,Dev,85
179,Dev,179
80,Dev,80
576,Dev,576
274,Dev,274
48,Dev,48
164,Dev,164
204,Dev,204
332,Dev,332
310,Dev,310
254,Dev,254
27,Dev,27
555,Dev,555
3,Dev,3
242,Dev,242
568,Dev,568
262,Dev,262
59,Dev,59
483,Dev,483
532,Dev,532
130,Dev,130
567,Dev,567
359,Dev,359
472,Dev,472
570,Dev,570
119,Dev,119
384,Dev,384
445,Dev,445
51,Dev,51
546,Dev,546
167,Dev,167
126,Dev,126
247,Dev,247
352,Dev,352
448,Dev,448
233,Dev,233
405,Dev,405
203,Dev,203
461,Dev,461
545,Dev,545
469,Dev,469
574,Dev,574
454,Dev,454
357,Dev,357
245,Dev,245
102,Dev,102
120,Dev,120
100,Dev,100
140,Dev,140
322,Dev,322
127,Dev,127
577,Dev,577
195,Dev,195
65,Dev,65
475,Dev,475
192,Dev,192
321,Dev,321
444,Dev,444
299,Dev,299
353,Dev,353
237,Dev,237
184,Dev,184
524,Dev,524
541,Dev,541
499,Dev,499
226,Dev,226
423,Dev,423
9,Dev,9
243,Dev,243
181,Dev,181
175,Dev,175
561,Dev,561
7,Dev,7
193,Dev,193
134,Dev,134
39,Dev,39
320,Dev,320
161,Dev,161
497,Dev,497
240,Dev,240
220,Dev,220
412,Dev,412
83,Dev,83
87,Dev,87
528,Dev,528
400,Dev,400
231,Dev,231
551,Dev,551
525,Dev,525
326,Dev,326
72,Dev,72
105,Dev,105
465,Dev,465
148,Dev,148
