MOFID,label,GATS1p,ATSC1e,X4v,GATS3p,GATS4p,MATS1p,EM,Vatomic,SpPosA_B_p,GATS2m,J_Dz_e,SpDiam_Dz_e,SM1_Dz_e,EE_B_p,MAXDN,VE1_B_s,SpMin1_Bh_s,GATS2p,Eta_sh_x,GATS2e,GATS1m,MATS4p,Mp,ATSC1p,SpMax2_Bh_m,X0Av,P
65,0,1.699,0.556,29.985,2.157,1.393,-0.16,4.1,8.65,1.469,1.045,0.9522,544.497,0.774,8.115,4.032,4.251,1.587,1.279,0.068,1.111,1.033,0.079,0.888,14.675,4.98,0.555,1.66
66,0,1.743,0.857,28.018,2.158,1.389,-0.203,4.1,8.65,1.466,1.042,0.9796,528.343,0.87,8.108,4.199,4.35,1.536,1.278,0.069,1.068,0.986,0.088,0.884,18.514,4.98,0.554,1.66
68,0,1.651,0.643,36.62,1.948,1.561,-0.13,4.1,8.65,1.488,0.991,0.7219,1074.39,-0.396,8.203,3.874,4.277,1.588,1.264,0.047,1.239,0.974,0.027,0.85,15.888,4.98,0.569,1.66
69,0,1.669,0.513,34.476,2.051,1.731,-0.143,4.1,8.65,1.453,0.986,0.7439,1042.103,0.774,8.193,4.036,4.271,1.588,1.29,0.049,1.107,0.968,0.047,0.859,15.419,4.98,0.551,1.66
70,0,1.669,0.513,34.476,2.051,1.731,-0.143,4.1,8.65,1.453,0.986,0.7439,1042.103,0.774,8.193,4.036,4.271,1.588,1.29,0.049,1.107,0.968,0.047,0.859,15.419,4.98,0.551,1.66
72,0,1.692,0.885,33.792,1.996,1.554,-0.161,4.1,8.65,1.483,0.95,0.7939,870.719,0.444,8.173,4.049,4.51,1.538,1.248,0.052,1.048,0.949,0.041,0.835,19.532,4.98,0.569,1.66
74,0,1.662,0.514,34.647,2.028,1.626,-0.143,4.1,8.65,1.47,0.96,0.7774,889.232,0.774,8.177,3.959,4.311,1.588,1.246,0.052,0.915,0.965,0.042,0.852,15.27,4.98,0.555,1.66
75,0,1.704,0.803,32.665,2.031,1.624,-0.185,4.1,8.65,1.467,0.957,0.7947,867.802,0.87,8.17,4.126,4.428,1.538,1.246,0.053,0.897,0.925,0.047,0.849,19.193,4.98,0.554,1.66
77,0,1.651,0.643,37.078,1.938,1.556,-0.13,4.1,8.65,1.481,0.991,0.7499,1030.398,-0.396,8.203,3.937,4.327,1.588,1.264,0.047,1.239,0.974,0.023,0.85,15.888,4.98,0.569,1.66
78,0,1.693,0.883,35.095,1.94,1.553,-0.172,4.1,8.65,1.479,0.987,0.7661,1006.36,-0.238,8.197,4.103,7.154,1.562,1.263,0.047,1.126,0.936,0.029,0.847,19.852,4.98,0.568,1.66
79,0,1.646,0.806,39.779,2.016,1.7,-0.135,4.1,8.65,1.391,0.945,0.5823,2097.446,1.635,8.277,4.634,4.273,1.588,1.284,0.035,0.781,0.922,0.036,0.85,16.702,4.98,0.526,1.66
80,0,1.696,0.584,32.583,1.991,1.542,-0.144,4.1,8.65,1.493,1.022,0.9465,594.316,0.007,8.135,3.972,4.383,1.59,1.279,0.062,1.037,1.014,0.031,0.865,14.747,4.98,0.574,1.66
81,0,1.739,0.823,30.602,1.993,1.539,-0.186,4.1,8.65,1.489,1.018,0.972,578.112,0.203,8.128,4.138,4.501,1.541,1.278,0.063,0.991,0.971,0.036,0.862,18.652,4.98,0.572,1.66
82,0,1.708,0.605,30.378,2.181,1.371,-0.158,4.1,8.65,1.454,1.058,0.9749,575.364,0.979,8.125,4.269,4.345,1.589,1.289,0.065,1.029,1.032,0.087,0.88,14.638,4.98,0.549,1.66
83,0,1.751,0.914,28.413,2.183,1.367,-0.201,4.1,8.65,1.451,1.055,1.002,559.117,1.058,8.117,4.436,4.459,1.539,1.288,0.065,1.009,0.986,0.096,0.876,18.492,4.98,0.548,1.66
84,0,1.684,0.647,33.51,2.031,1.494,-0.105,4.1,8.65,1.453,0.977,0.9658,679.472,0.607,8.148,4.282,4.482,1.591,1.298,0.058,0.944,1.033,0.051,0.826,15.01,4.98,0.567,1.66
85,0,1.684,0.647,33.51,2.031,1.494,-0.105,4.1,8.65,1.453,0.977,0.9658,679.472,0.607,8.148,4.282,4.482,1.591,1.298,0.058,0.944,1.033,0.051,0.826,15.01,4.98,0.567,1.66
86,0,1.655,0.611,37.013,1.964,1.548,-0.129,4.1,8.65,1.476,0.992,0.7426,1108.805,0.007,8.212,4.111,4.37,1.59,1.269,0.045,1.035,0.965,0.033,0.846,16.048,4.98,0.564,1.66
87,0,1.688,0.856,36.414,1.942,1.494,-0.167,4.1,8.65,1.463,0.95,0.7371,995.03,0.203,8.175,4.202,4.536,1.541,1.213,0.049,0.947,0.928,0.04,0.836,19.86,4.98,0.572,1.66
89,0,1.686,0.841,34.434,1.991,1.546,-0.162,4.1,8.65,1.471,0.965,0.7957,920.114,0.719,8.187,4.288,4.617,1.541,1.252,0.05,0.956,0.936,0.047,0.84,19.682,4.98,0.556,1.66
90,0,1.697,0.83,35.571,1.996,1.553,-0.179,4.1,8.65,1.436,0.959,0.7535,1091.455,0.995,8.192,4.647,4.54,1.541,1.247,0.047,0.775,0.917,0.039,0.862,19.451,4.98,0.546,1.66
91,0,1.709,0.853,33.059,2.049,1.607,-0.184,4.1,8.65,1.455,0.963,0.8144,900.473,1.058,8.179,4.363,4.535,1.541,1.252,0.05,0.853,0.921,0.054,0.844,19.305,4.98,0.549,1.66
92,0,1.656,0.861,39.69,2.05,1.699,-0.132,4.1,8.65,1.381,0.958,0.5873,2229.161,1.727,8.28,4.847,4.367,1.59,1.298,0.034,0.788,0.917,0.043,0.841,17.001,4.98,0.525,1.66
93,0,1.697,1.188,37.709,2.052,1.696,-0.173,4.1,8.65,1.38,0.957,0.5959,2193.568,1.765,8.274,5.013,4.483,1.541,1.298,0.034,0.798,0.881,0.048,0.838,20.983,4.98,0.525,1.66
94,0,1.684,0.887,36.019,1.924,1.505,-0.168,4.1,8.65,1.475,0.949,0.7163,961.095,-0.238,8.166,3.965,4.43,1.538,1.207,0.051,1.076,0.937,0.034,0.84,19.691,4.98,0.578,1.66
