MOFID,Label_Stab,sample_weight,ATS7p,ATSC3p,VE2_X,P_VSA_v_3,SpMax8_Bh_m,P_VSA_s_3,Molecular_Topological_Index_Unit,SM2_B_p,TIC2,Eig11_EA_ed,Eig13_AEA_ed,VE1_X,SpMaxA_B_s,MLOGP2,SM13_AEA_bo,JGT,VE3sign_H2,IC2,P_VSA_LogP_7,F04_C_N,Eig06_EA_ri,P_VSA_LogP_5,SpMin6_Bh_s,SpMax4_Bh_e,LogP_Linker,GATS2m,SpMin1_Bh_s,X3v,SpMax4_Bh_m,GGI5
L1-N-CoCo-C,1,3.0,5.54,37.444,0.107,314.964,3.653,68.581,3291.218687,5.696,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.071,1.529,25.351,4.189,4.642
L1-N-CoCo-CHO,1,3.0,5.633,37.579,0.102,325.231,3.653,74.952,3505.064883,5.747,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.966,3.936,2.6394,1.076,1.532,25.797,4.189,4.878
L1-N-CrCr-C,1,3.0,5.657,50.056,0.107,314.964,3.653,68.581,3291.218687,5.853,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.968,3.91,2.6394,1.019,1.588,29.652,4.185,4.642
L1-N-CrCr-CHO,1,3.0,5.765,49.966,0.102,325.231,3.653,74.952,3505.064883,5.897,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.993,3.936,2.6394,1.022,1.59,30.099,4.185,4.878
L1-N-CuCu-C,1,3.0,5.497,33.107,0.107,314.964,3.653,68.581,3291.218687,5.654,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.101,1.496,23.662,4.19,4.642
L1-N-CuCu-CHO,1,3.0,5.584,33.314,0.102,325.231,3.653,74.952,3505.064883,5.707,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.966,3.936,2.6394,1.108,1.5,24.109,4.19,4.878
L1-N-FeFe-C,1,3.0,5.567,40.223,0.107,314.964,3.653,68.581,3291.218687,5.727,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.049,1.548,26.467,4.187,4.642
L1-N-FeFe-CHO,1,3.0,5.664,40.311,0.102,325.231,3.653,74.952,3505.064883,5.776,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.969,3.936,2.6394,1.053,1.551,26.913,4.187,4.878
L1-N-MnMn-C,1,3.0,5.596,43.304,0.107,314.964,3.653,68.581,3291.218687,5.763,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.042,1.567,27.859,4.187,4.642
L1-N-MnMn-CHO,1,3.0,5.696,43.339,0.102,325.231,3.653,74.952,3505.064883,5.811,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.981,3.936,2.6394,1.046,1.57,28.305,4.187,4.878
L1-N-NiNi-C,1,3.0,5.519,35.277,0.107,314.964,3.653,68.581,3291.218687,5.674,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.069,1.512,24.433,4.189,4.642
L1-N-NiNi-CHO,1,3.0,5.609,35.449,0.102,325.231,3.653,74.952,3505.064883,5.726,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.966,3.936,2.6394,1.075,1.516,24.879,4.189,4.878
L1-N-ScSc-C,0,2.60588889,5.811,68.886,0.107,314.964,3.653,68.581,3291.218687,6.144,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,1.002,3.91,2.6394,0.958,1.658,41.045,4.174,4.642
L1-N-ScSc-CHO,0,3.0,5.936,68.406,0.102,325.231,3.653,74.952,3505.064883,6.177,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,1.019,3.936,2.6394,0.959,1.66,41.492,4.174,4.878
L1-N-TiTi-C,1,3.0,5.734,59.204,0.107,314.964,3.653,68.581,3291.218687,5.989,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.991,3.91,2.6394,0.984,1.633,35.545,4.18,4.642
L1-N-TiTi-CHO,1,3.0,5.851,58.933,0.102,325.231,3.653,74.952,3505.064883,6.027,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,1.016,3.936,2.6394,0.986,1.635,35.991,4.18,4.878
L1-N-VV-C,1,3.0,5.678,52.502,0.107,314.964,3.653,68.581,3291.218687,5.888,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.979,3.91,2.6394,1.01,1.61,32.071,4.184,4.642
L1-N-VV-CHO,1,3.0,5.789,52.366,0.102,325.231,3.653,74.952,3505.064883,5.93,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,1.005,3.936,2.6394,1.013,1.612,32.517,4.184,4.878
L1-N-ZnZn-C,1,3.0,5.528,36.206,0.107,314.964,3.653,68.581,3291.218687,5.683,315.681,8.423,5.978,6.394,0.082,36.149,3.073,0.355,-9.758,3.358,400.217,38,2.858,60.158,0.963,3.91,2.6394,1.112,1.489,23.005,4.191,4.642
L1-N-ZnZn-CHO,1,3.0,5.62,36.363,0.102,325.231,3.653,74.952,3505.064883,5.735,361.183,8.431,5.978,6.522,0.116,21.978,3.115,0.378,-11.652,3.686,376.675,38,2.923,66.53,0.966,3.936,2.6394,1.12,1.489,23.451,4.191,4.878
